date,ZDJ
2000-01-26,480.0
2000-02-01,465.0
2000-02-03,438.0
2000-02-23,437.95
2000-02-24,411.7
2000-02-25,410.0
2000-03-01,410.0
2000-03-15,411.0
2000-03-16,437.95
2000-04-07,435.65
2000-04-11,436.0
2000-04-27,436.0
2000-05-03,435.0
2000-05-12,434.9
2000-05-26,435.0
2000-06-05,420.0
2000-06-22,395.0
2000-06-26,372.0
2000-07-20,330.0
2000-07-24,330.0
2000-07-25,330.0
2000-08-11,331.0
2000-08-18,311.15
2000-09-05,315.0
2000-09-14,325.0
2000-09-25,316.3
2000-10-06,316.3
2000-10-12,316.0
2000-11-02,300.0
2000-11-14,305.1
2000-11-21,322.0
2000-11-28,305.0
2001-01-16,305.0
2001-01-17,305.0
2001-01-18,305.0
2001-01-19,305.0
2001-01-22,305.0
2001-01-23,305.0
2001-01-24,305.0
2001-01-25,305.0
2001-01-26,305.0
2001-01-29,322.0
2001-01-30,322.0
2001-01-31,322.0
2001-02-01,340.0
2001-02-02,340.0
2001-02-05,340.0
2001-02-06,340.0
2001-02-07,340.0
2001-02-08,340.0
2001-02-09,340.0
2001-02-12,340.0
2001-02-13,340.0
2001-02-14,340.0
2001-02-15,340.0
2001-02-16,340.0
2001-02-19,340.0
2001-02-20,340.0
2001-02-21,340.0
2001-02-22,340.0
2001-02-23,340.0
2001-02-26,340.0
2001-02-27,338.95
2001-02-28,320.0
2001-03-01,320.0
2001-03-02,320.0
2001-03-05,320.0
2001-03-08,320.0
2001-03-09,320.0
2001-03-12,320.0
2001-03-13,320.0
2001-03-14,320.0
2001-03-15,320.0
2001-03-16,305.0
2001-03-19,305.0
2001-03-20,305.0
2001-03-21,300.0
2001-03-22,300.0
2001-03-23,300.0
2001-03-26,300.0
2001-03-28,300.0
2001-03-29,300.0
2001-03-30,300.0
2001-04-02,300.0
2001-04-03,300.0
2001-04-04,300.0
2001-04-05,300.0
2001-04-06,300.0
2001-04-09,300.0
2001-04-10,300.0
2001-04-11,300.0
2001-04-12,300.0
2001-04-13,300.0
2001-04-16,290.0
2001-04-17,290.0
2001-04-18,290.0
2001-04-19,275.0
2001-04-20,290.0
2001-04-23,290.0
2001-04-24,290.0
2001-04-25,290.0
2001-04-26,298.0
2001-04-27,310.0
2001-04-30,310.0
2001-05-02,310.0
2001-05-03,310.0
2001-05-04,310.0
2001-05-07,310.0
2001-05-08,310.0
2001-05-09,292.0
2001-05-10,277.0
2001-05-11,277.0
2001-05-14,277.0
2001-05-15,277.0
2001-05-16,277.0
2001-05-17,277.0
2001-05-18,290.0
2001-05-21,278.0
2001-05-22,278.05
2001-05-23,290.1
2001-05-24,290.1
2001-05-25,290.1
2001-05-28,290.1
2001-05-29,290.1
2001-05-30,290.1
2001-05-31,290.1
2001-06-01,279.05
2001-06-04,279.05
2001-06-07,279.05
2001-06-08,279.05
2001-06-11,295.7
2001-06-12,279.0
2001-06-13,278.0
2001-06-14,270.0
2001-06-15,270.0
2001-06-18,270.0
2001-06-19,270.0
2001-06-20,270.0
2001-06-21,270.0
2001-06-22,270.0
2001-06-25,270.0
2001-06-26,270.0
2001-06-27,270.0
2001-06-28,270.0
2001-06-29,270.0
2001-07-02,270.0
2001-07-03,270.0
2001-07-04,270.0
2001-07-05,270.0
2001-07-06,270.0
2001-07-09,270.0
2001-07-10,270.0
2001-07-11,270.0
2001-07-12,280.0
2001-07-13,280.0
2001-07-16,280.0
2001-07-17,270.0
2001-07-18,270.0
2001-07-19,270.0
2001-07-20,270.0
2001-07-23,270.0
2001-07-24,270.0
2001-07-25,270.0
2001-07-26,270.0
2001-07-27,270.0
2001-07-31,270.0
2001-08-01,270.0
2001-08-02,270.0
2001-08-03,273.0
2001-08-06,273.0
2001-08-07,273.0
2001-08-08,273.0
2001-08-09,273.0
2001-08-10,273.0
2001-08-13,255.0
2001-08-15,255.0
2001-08-16,255.0
2001-08-17,255.0
2001-08-22,255.0
2001-08-23,255.0
2001-08-24,255.0
2001-08-27,255.0
2001-08-28,255.0
2001-08-29,255.0
2001-08-30,255.0
2001-08-31,255.0
2001-09-03,231.0
2001-09-04,231.0
2001-09-05,231.0
2001-09-06,231.0
2001-09-07,231.0
2001-09-10,218.0
2001-09-11,218.0
2001-09-12,218.0
2001-09-13,218.0
2001-09-14,218.0
2001-09-17,204.0
2001-09-18,204.0
2001-09-19,204.0
2001-09-20,204.0
2001-09-21,204.0
2001-09-24,204.0
2001-09-25,204.0
2001-09-26,216.0
2001-09-27,216.0
2001-09-28,216.0
2001-10-01,216.05
2001-10-02,216.0
2001-10-03,216.0
2001-10-04,216.0
2001-10-05,216.0
2001-10-08,216.0
2001-10-09,216.0
2001-10-10,216.0
2001-10-11,216.0
2001-10-12,216.0
2001-10-15,216.0
2001-10-16,216.0
2001-10-17,216.0
2001-10-18,216.0
2001-10-19,216.0
2001-10-22,216.0
2001-10-23,216.0
2001-10-24,216.0
2001-10-25,216.0
2001-10-26,216.0
2001-10-29,216.0
2001-10-30,216.0
2001-10-31,216.0
2001-11-01,216.0
2001-11-02,216.0
2001-11-05,216.0
2001-11-07,216.0
2001-11-08,216.0
2001-11-09,216.0
