stock,price
TAQA MOROCCO,2540.0
SODEP-Marsa Maroc,747.0
ARADEI CAPITAL,479.5
BALIMA,220.0
IMMORENTE INVEST,90.0
CARTIER SAADA,32.0
COSUMAR,241.5
DARI COUSPATE,3338.0
LESIEUR CRISTAL,281.0
MUTANDIS SCA,297.35
UNIMER,170.0
AFMA,1350.0
AGMA,6990.0
ATLANTASANAD,140.0
SANLAM MAROC,2011.0
WAFA ASSURANCE,5135.0
AFRIC INDUSTRIES SA,336.35
ALUMINIUM DU MAROC,1825.0
CIMENTS DU MAROC,1960.0
COLORADO,59.48
JET CONTRACTORS,2164.0
LAFARGEHOLCIM MAROC,1960.0
SONASID,2198.0
TGCC S.A,770.0
ATTIJARIWAFA BANK,666.0
BANK OF AFRICA,229.0
BCP,265.95
BMCI,564.0
CDM,1100.0
CFG BANK,232.35
CIH,414.9
OULMES,1223.0
SOCIETE DES BOISSONS DU MAROC,2091.0
MAGHREB OXYGENE,440.0
SNEP,690.0
AUTO HALL,82.0
AUTO NEJMA,2068.0
ENNAKL,34.4
FENIE BROSSETTE,275.0
LABEL VIE,4729.0
REALISATIONS MECANIQUES,470.0
STOKVIS NORD AFRIQUE,56.0
DELATTRE LEVIVIER MAROC,40.0
STROC INDUSTRIE,57.45
ALLIANCES,508.0
DOUJA PROM ADDOHA,39.48
RESIDENCES DAR SAADA,95.0
RISMA,300.3
DISTY TECHNOLOGIES,329.0
DISWAY,794.9
HPS,567.0
IB MAROC.COM,39.0
INVOLYS,97.99
M2M Group,515.0
MICRODATA,850.0
S.M MONETIQUE,621.0
MANAGEM,5200.0
MINIERE TOUISSIT,1880.0
REBAB COMPANY,86.0
SMI,2397.0
AFRIQUIA GAZ,4100.0
SAMIR,127.8
TOTALENERGIES MARKETING MAROC,1969.0
PROMOPHARM S.A.,1080.0
SOTHEMA,1302.0
MED PAPER,22.82
DIAC SALAF,26.25
EQDOM,1054.0
MAGHREBAIL,970.0
MAROC LEASING,390.0
SALAFIN,687.0
DELTA HOLDING,90.0
ZELLIDJA S.A,133.05
ITISSALAT AL-MAGHRIB,113.8
CTM,959.9
AKDITAL,1480.0
CMGP GROUP,315.8
