date,ADH,ADI,AFI,AFM,AKT,ALM,ARD,ATH,ATL,ATW,BAL,BCI,BCP,BOA,CDM,CFG,CIH,CMA,CMG,CMT,COL,CRS,CSR,CTM,DHO,DIS,DLM,DRI,DWY,DYT,EQD,FBR,GAZ,HPS,IAM,IBC,IMO,INV,JET,LBV,LES,LHM,M2M,MAB,MDP,MIC,MLE,MNG,MOX,MSA,MUT,NEJ,NKL,OUL,PRO,RDS,REB,RIS,S2M,SAH,SAM,SBM,SID,SLF,SMI,SNA,SNP,SOT,SRM,STR,TGC,TMA,TQM,UMR,WAA,ZDJ
2000-01-03,,,,,,,,,,,,408.369,,60.344,459.0,,382.611,454.5,,,,,,,,,,,,,,,,,,,,,,,136.2,,,,,,279.0,,,,,,,,,,,,,,,,621.0,,,,,,,,,,,,620.0,
2000-01-04,,,,,,,,,,,,408.369,,60.165,460.0,,,,,,,,,390.0,,,,,,,954.0,,430.0,,,,,,,,,403.636,,,,,279.0,,,,,,,,,,,,,,,,605.0,,,,,,,,,,,,629.0,
2000-01-05,,,,,,,,,,100.0,,408.369,,60.165,,,387.639,460.0,,,,,15.876,387.9,,,,,,,,,,,,,,,,,,406.364,,,,,,,,,,,,,,,,,,,,,610.0,,1233.0,,,,,,,,,,635.0,
2000-01-06,,,,,,,,19.875,,100.0,,404.373,,59.718,,,392.299,460.0,,,,,,383.5,,,,,,,,,,,,,,,,,,404.727,,439.222,361.1,,279.0,,,,,303.03,,,,,,,,,,,611.0,,1232.0,,,,,,,,,,635.0,
2000-01-07,,,,,,,,21.0,,100.0,,407.569,,59.807,460.0,,389.969,452.5,,,,,15.822,367.0,,447.619,,,,,,,,,,,,,,,137.0,399.545,,439.222,361.1,,279.0,,,,,303.03,,,,,,,,,,2100.0,623.0,,1229.0,,,,,,,,,,635.0,
2000-01-12,,,,,,,,,,99.8,,407.569,,60.076,,,392.299,,,,,,,,,475.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-13,,,,,,,,20.915,,99.8,,407.569,,60.165,465.0,,392.422,450.0,,,,,15.556,,,,,,,,959.0,,,,,,,,,,140.0,414.273,,424.742,340.0,,277.0,,,,,,,,,,,,,,,2100.0,621.0,,1233.0,,,,,,,,,,629.0,
2000-01-14,,,,,,605.0,,,,100.5,,408.369,,60.165,,,392.422,450.0,,,,,15.553,369.0,,490.0,,,,,959.0,,,,,,,,,,137.7,406.364,,429.568,360.4,,275.0,,,,,,,,,,,,,,,2155.0,650.0,,1229.0,,,,,,,,,,625.0,
2000-01-17,,,,,,,,,,99.8,,407.569,,59.986,465.0,,387.517,450.0,,,,,15.556,369.0,,484.95,,,,,,,,,,,,,,,,406.364,,424.742,,,260.0,,,,,,,,,,,,,,,2140.0,644.0,,1233.0,,,,,,,,,,615.0,
2000-01-18,,,,,,,,,,,,407.569,,59.807,,,392.422,436.0,,,,,15.556,370.0,,,,,,,950.0,,,,,,,,,,137.7,406.364,,423.776,,,259.0,,,,,,,,,,,,,,,2140.0,615.0,,1230.0,,,,,,,,,,627.0,
